, '姓名', '简介,,,,,,,,,,,,,,,,,
36', '王华明', '王华明（1962.05.06- ）,金属增材制造专家，四川省泸州市合江县人,1983年毕业于四川工业学院（现西华大学），1986年获西安交通大学硕士学位，1989年获中国矿业大学博士学位,现任北京航空航天大学教授、大型金属构件增材制造国家工程实验室主任、国防科技工业激光增材制造技术研究应用中心主任，兼任中国机械工程学会增材制造分会副主任委员,,,,,,,,,,,,,,
37', '王玉明', '王玉明（1941.01.07- ）,机械设计及理论专家,吉林省梨树人,1965年毕业于清华大学,现任清华大学机械工程系教授，博士生导师，系学术委员会主任；兼任教育部科学技术委员会副主任，中国机械工程学会监事，北京化工大学、浙江大学兼职教授,1992年享受政府（国务院）特殊津贴,,,,,,,,,,,,
38', '王振国', '王振国（1960.06.15- ）,航空宇航推进领域专家,湖南常德人,教授，博士生导师,1993年毕业于国防科技大学航天技术系，获博士学位,现任国防科技大学研究生院院长，国务院学位委员会航空宇航科学与技术学科评议组召集人，教育部科技委数理学部委员、中国宇航学会常务理事等,,,,,,,,,,,,
39', '吴光辉', '吴光辉（1960.02.07- ）,飞机设计专家,湖北省武汉市人，中共党员,1982年本科毕业于南京航空学院飞机设计专业，2009年获北京航空航天大学工学博士学位,曾任国家重点工程空警2000（飞机）、ARJ21飞机总设计师,现任中国商用飞机有限责任公司副总经理、国家重大专项C919大型客机总设计师,,,,,,,,,,,,
40', '吴有生', '吴有生（1942.04.02- ）,船舶力学与船舶工程专家,浙江省嵊县人,1964年毕业于中国科学技术大学,1967年清华大学研究生毕业,1984年获英国伦敦布鲁纳尔大学博士学位,中国船舶科学研究中心研究员、名誉所长,,,,,,,,,,,
41', '夏长亮', '夏长亮（1968.04.01- ）,电机设计与控制专家,天津市人，中共党员,1990年天津大学本科毕业，1993年和1995年分别获浙江大学硕士和博士学位,长江学者特聘教授、国家杰出青年科学基金获得者、973计划项目首席科学家、国家“万人计划”科技创新领军人才,现任天津工业大学教授、博士生导师、副校长,第十三届全国政协委员,,,,,,,,,,,
42', '杨德森', '杨德森（1957.04.06- ）,水声工程专家,黑龙江省穆棱市人,籍贯山东省费县,中共党员,,,,,,,,,,,,,
43', '杨凤田', '杨凤田（1941.06.14- ）,飞机总体设计专家,生于辽宁省义县，原籍辽宁省义县,1964年毕业于哈尔滨军事工程学院,现任沈阳飞机设计研究所研究员，沈阳航空航天大学校长,曾任西工大、北航、南航兼职教授,,,,,,,,,,,,
44', '杨华勇', '杨华勇（1961.01.12- ）,流体传动与控制领域专家,重庆市人,1982年毕业于华中科技大学,1988年获英国巴斯大学博士学位,现任浙江大学流体动力与机电系统国家重点实验室主任，中国机械工程学会流体传动及控制分会副主任,,,,,,,,,,,,
45', '杨绍卿', '杨绍卿（1941.02.15- ）,外弹道学与灵巧（智能）弹药武器系统工程技术专家,辽宁省康平县人,1967年毕业于北京大学物理系，1981～1984年在美国Texas A﹠M大学研修飞行器控制工程,现任中国兵器工业第二〇三研究所研究员、中国兵器工业首席专家、国家灵巧弹药工程型号总设计师、中国人民解放军总装备部枪炮弹箭专家组顾问、国务院中央军委军工产品定型专家咨询委员会委员,,,,,,,,,,,,,
46', '尹泽勇', '尹泽勇（1945.02.14- ）,航空发动机专家,出生于重庆市，原籍江苏省宝应县,中共党员,1967年毕业于西北工业大学飞行器结构力学专业，1985-1987年在美国俄克拉荷马大学机械与航空工程系作访问学者，1990年获北京航空航天大学航空发动机工学博士学位,曾任中国航空动力机械研究所总设计师、中国航空工业集团副总工程师及科技委副主任，现任中国航空发动机集团科技委主任及国家“两机”重大科技专项发动机工程总师,,,,,,,,,,,,
47', '尤政', '尤政（1963.12.02- ）,机械电子专家,江苏省扬州人,中共党员,1985、1987、1990年分别于华中科技大学获工学学士、硕士、博士学位,1990-1992在清华大学博士后，1992年获国务院学位委员会、教育部授予的“做出突出贡献的中国博士学位获得者”称号，1994年教授，1999年教育部长江学者奖励计划特聘教授、享受国务院特殊津贴， 2005年获人事部授予的“全国优秀博士后”称号并入选国家“新世纪百千万人才工程”,现任清华大学副校长、未来芯片北京高精尖中心主任,兼任教育部科技委国防学部主任、国务院学位委员会仪器学科评议组召集人、中国微米纳米技术学会理事长、中国机械工程学会副理事长、中国仪器仪表学会副理事长等,,,,,,,,,,
48', '张军', '张军（1965.07.30- ）,航空交通工程技术专家,生于安徽省合肥市，原籍四川省岳池县,中共党员,1987年毕业于北京航空航天大学，2001年获北京航空航天大学工学博士学位,曾任北京航空航天大学党委书记,现任北京理工大学校长，兼任国家空管新航行系统技术重点实验室主任、综合交通大数据应用技术国家工程实验室主任、国家空中交通管制系统总体技术专家组专家、中国电子学会副理事长,第十九届中央纪律检查委员会委员,,,,,,,,,,
49', '张彦仲', '张彦仲（1940.03.04- ）,航空系统工程专家,陕西三原人,1960年加入中国共产党,1962年西北大学毕业, 1984年剑桥大学三一学院博士,,,,,,,,,,,,
50', '钟志华', '钟志华（1962.07.08- ）,车辆工程专家,出生于湖南省湘阴县,1988年毕业于瑞典林雪平（Linkoping）大学，获工学博士学位,"曾任国家“十五”863计划""先进制造与自动化技术""领域专家委员会委员",曾任同济大学校长，博士生导师，并兼任国务院学位委员会学科评议组成员和教育部科学技术委员会工学部委员等学术职务,现任中国工程院党组成员、副院长,,,,,,,,,,,
51', '周济', '周济（1946.08.26- ）,机械工程专家,上海市人,1970年毕业于清华大学，1984年获美国纽约州立大学（布法罗）博士学位,华中科技大学教授,曾任华中科技大学校长，湖北省委常委兼省科技厅厅长，武汉市市长，教育部部长,2010—2018年任中国工程院院长,,,,,,,,,,,
52', '周志成', '周志成（1963.06.22- ）,卫星总体技术专家，北京市人,1984年毕业于成都科技大学（现四川大学）工程力学系，1987年获清华大学硕士学位,现为中国航天科技集团公司科技委常委，型号总设计师，五院通信卫星事业部部长、博士生导师,,,,,,,,,,,,,,
53', '朱能鸿', '朱能鸿（1939.11.10- ）,天文光学望远镜专家,祖籍苏州，生于上海,l960年毕业于同济大学,现任中国科学院上海天文台研究员，总工程师,曾任中国科学院上海天文台高级工程师、副总工程师、副台长和上海市科协副主席,,,,,,,,,,,,
54', '朱英富', '朱英富（1941.07.12- ）,舰船工程专家,浙江省宁波人,1966年上海交通大学船舶制造系研究生毕业,现任中国船舶重工集团公司第七〇一研究所研究员，博士生导师，国家重大专项工程总设计师,,,,,,,,,,,,,
55', '陈懋章', '陈懋章（1936.02.10- ）,航空发动机专家,四川省成都市人,1957年毕业于北京航空学院,1979～1981年作为改革开放后第一批访问学者在英国帝国理工学院从事湍流研究,现任北京航空航天大学教授,,,,,,,,,,,,
56', '陈一坚', '陈一坚（1930.06.21- ）,飞机设计专家,福建省福州市人,1952年毕业于清华大学,现任中国航空工业集团公司第一飞机设计院研究员,,,,,,,,,,,,,
57', '陈予恕', '陈予恕（1931.03.29- ）,工程非线性振动专家,山东肥城人,1956年毕业于天津大学机械系,1963年获苏联科学院机械所副博士学位,现任天津大学和哈尔滨工业大学的双聘教授，历任天津大学理论力学教研室主任、机械工程学院振动所所长、非线性动力学研究中心名誉主任，加拿大Guelph大学、Manitoba大学、Western Ontario大学客座教授，大连理工大学、同济大学的兼职教授，香港城市大学客座教授,1998年当选为俄罗斯应用科学院外籍院士；中国振动工程学会常委理事，非线性振动专业委员会主任，中国力学学会一般力学副主任，《非线性动力学学报》主编，美国JVC（国际振动控制学报）编委，IFTOMM非线性振动技术委员会委员,,,,,,,,,,,
58', '丁衡高', '丁衡高（1931.02.03- ）,惯性技术和精密仪器专家,江苏省南京市人,1952年毕业于南京大学，1961年毕业于原苏联列宁格勒精密机械光学学院获副博士学位,中国人民解放军总装备部研究员，清华大学兼职教授、博士生导师，北京大学、东南大学、哈尔滨工业大学等学校名誉教授，上海交通大学微纳米科学技术研究院名誉院长，中国惯性技术学会名誉理事长,中国微米纳米技术学会名誉理事长,曾任中国工程院主席团成员，中国宇航学会名誉理事长，中国惯性技术学会第一至第四届理事长,中共十二届候补中央委员，第十三、十四届中央委员，全国政协第八届、第九届常委,,,,,,,,,,
59', '杜善义', '杜善义（1938.08.20- ）,力学和复合材料专家,辽宁省大连人,中共党员,1964年毕业于中国科学技术大学近代力学系，后又在美国乔治华盛顿大学作访问学者,曾任哈尔滨工业大学航天学院院长、副校长，第十、十一届全国人大代表，国际复合材料委员会执委，国家自然基金委重大研究计划指导专家组组长，中国复合材料学会理事长，中国力学学会副理事长等职,现任哈尔滨工业大学教授、中国航天科技集团高级技术顾问，中国科学技术大学工程科学院院长，国防科工局科技委委员，中国商用飞机有限责任公司专家咨询组成员,,,,,,,,,,,
60', '段正澄', '段正澄（1934.06.15- ）,机械制造与自动化（加工技术和装备）专家,汉族，中共党员，江苏省镇江市人，机械制造与自动化专家,1957年毕业于华中工学院（现华中科技大学）机械系，后留校工作至今，长期从事机械制造与自动化学科的教学与科研工作,他一直工作在一线，与生产紧密结合，致力于国家重要需求的自动化、数字化加工技术与装备的应用基础研究和工程技术研发,现为华中科技大学机械学院教授、博士研究生导师、制造装备数字化国家工程研究中心首席科学家,,,,,,,,,,,,
61', '朵英贤', '朵英贤（1932.03.27- ）,自动武器专家,甘肃省永靖县人,1956年毕业于北京工业学院,现任北京理工大学教授,曾任中国兵器工业集团公司科技委委员，中国兵器装备集团公司科技委委员,,,,,,,,,,,,
62', '范本尧', '范本尧（1935.08.16- ）,航天器研制技术专家,出生于广东省汕头市，原籍上海市,中共党员,1957年毕业于上海交通大学船舶制造专业，后入清华大学工程力学研究班学习，1958年研究生毕业,曾任通信卫星和导航卫星总设计师、导航卫星领域首席专家,现任中国航天科技集团有限公司科技委顾问、中国空间技术研究院技术顾问,,,,,,,,,,,
63', '顾国彪', '顾国彪（1936.06.02- ）,电机学专家,上海市人,1958年毕业于清华大学电机系,中国科学院电工研究所研究员、博士生导师，电力设备新技术实验室主任和所学位评定委员会主任，中国科学院大学电子电气与通信工程学科群学位评定委员会副主席,,,,,,,,,,,,,
64', '顾诵芬', '顾诵芬（1930.02.04- ）,飞机空气动力学家,江苏苏州人,1951年毕业于上海交通大学,现任中国航空工业集团公司科技委研究员,中国航空研究院名誉院长,中国科学院院士,,,,,,,,,,,
65', '关桥', '关桥（1935.07.02- ）,航空制造工程焊接专家,生于山西省太原市，籍贯山西襄汾,航空制造工程焊接专业,中国共产党党员,毕业于莫斯科鲍曼高等工学院，后又继续深造获技术科学副博士学位（K.T.H.）；现任中国航空制造工程研究院研究员;曾任中国焊接学会理事长、国际焊接学会(IIW )副主席,,,,,,,,,,,,
66', '郭重庆', '郭重庆（1933.06.17- ）,机械制造工艺与设备、设施规划与设计及产业发展战略专家,陕西省富平县人,1957年毕业于哈尔滨工业大学,现任同济大学教授,,,,,,,,,,,,,
67', '郭孔辉', '郭孔辉（1935.07.12- ）,汽车设计研究专家,福建省福州市人,1956年毕业于吉林工业大学,吉林大学教授，汽车学院名誉院长,曾任“一汽”汽车研究所总工程师，吉林工业大学副校长,,,,,,,,,,,,
68', '胡正寰', '胡正寰（1934.07.18- ）,零件轧制成形专家,出生于哈尔滨市，祖籍湖北省孝感市,1956年毕业于北京钢铁学院,现任北京科技大学教授、“国家高效零件轧制研究与推广中心”主任,,,,,,,,,,,,,
69', '黄崇祺', '黄崇祺（1934.11.07- ）,金属导体专家,江苏省常熟市人,中共党员,1957年8月毕业于东北工学院（现东北大学），同年8月进入国家机械工业部上海电缆研究所工作至今，研究员级高级工程师，曾任副总工程师，现任特种电缆国家重点实验室专家委员会主任委员、国家科技部“高性能合金导电材料”专项技术总指导、联合国工业发展组织全球创新网络专家委员会委员等职,,,,,,,,,,,,,
70', '黄瑞松', '黄瑞松（1938.07.18- ）,飞航技术专家,生于江苏省宜兴市，1963年3月毕业于中国人民解放军军事工程学院,现任中国航天科工集团公司科技委、中国航天科工飞航技术研究院科技委顾问，型号系列技术顾问、国家重大科技工程专家委员会成员，中国宇航学会无人飞行器学会高级顾问,曾任中国航天三院预先研究总研究师，技术副院长，多个型号的副总设计师、总设计师、总指挥，院科技委主任，集团公司科技委副主任,,,,,,,,,,,,,
71', '黄文虎', '黄文虎（1926.07.22- ）,机械动力学专家,出生于上海市，原籍浙江省永康市,1949年毕业于浙江大学电机系,现任哈尔滨工业大学航天学院教授,曾任哈尔滨工业大学校长,曾兼任国家自然科学基金委员会委员；中国振动工程学会理事长、名誉理事长；黑龙江省科协主席、名誉主席；《振动工程学报》副主编，《振动与冲击》主编,,,,,,,,,,,
72', '黄旭华', '黄旭华（1926.03.12- ）,核潜艇研究设计专家,原籍广东省揭阳市，出生于广东省汕尾市,1949年毕业于上海交通大学,中船重工集团公司719研究所研究员、名誉所长,,,,,,,,,,,,,
73', '乐嘉陵', '乐嘉陵（1936.03.21- ）,空气动力学专家,浙江省镇海县人,1964年北京航空学院研究生毕业,中国空气重力研究与发展中心研究员,,,,,,,,,,,,,
